src_path,src_r0,src_r1,src_c0,src_c1,dst_path,dst_r0,dst_r1,dst_c0,dst_c1
/home/dziurawy-beret/dataset_final/00022_FINAL.png,195,391,130,326,/home/dziurawy-beret/houzz_final/00044.jpg,550,746,621,817
/home/dziurawy-beret/dataset_final/00022_FINAL.png,491,687,407,603,/home/dziurawy-beret/houzz_final/00067.jpg,341,537,293,489
/home/dziurawy-beret/dataset_final/00022_FINAL.png,305,501,711,907,/home/dziurawy-beret/houzz_final/00098.jpg,181,377,167,363
/home/dziurawy-beret/dataset_final/00022_FINAL.png,305,501,711,907,/home/dziurawy-beret/houzz_final/00096.jpg,200,396,464,660
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00067.jpg,301,497,9,205
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00078.jpg,333,529,276,472
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00005.jpg,498,694,480,676
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00021.jpg,553,749,464,660
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00098.jpg,459,655,572,768
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00020.jpg,303,499,114,310
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00035.jpg,471,667,529,725
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00066.jpg,520,716,336,532
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00033.jpg,399,595,179,375
/home/dziurawy-beret/dataset_final/00022_FINAL.png,499,695,304,500,/home/dziurawy-beret/houzz_final/00027.jpg,409,605,268,464
/home/dziurawy-beret/dataset_final/00022_FINAL.png,477,673,242,438,/home/dziurawy-beret/houzz_final/00078.jpg,500,696,773,969
/home/dziurawy-beret/dataset_final/00022_FINAL.png,477,673,242,438,/home/dziurawy-beret/houzz_final/00048.jpg,177,373,103,299
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00085.jpg,546,742,778,974
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00048.jpg,563,759,565,761
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00007.jpg,494,690,684,880
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00082.jpg,538,734,495,691
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00002.jpg,572,768,30,226
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00085.jpg,492,688,420,616
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00082.jpg,555,751,496,692
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00088.jpg,26,222,605,801
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00088.jpg,377,573,538,734
/home/dziurawy-beret/dataset_final/00022_FINAL.png,529,725,744,940,/home/dziurawy-beret/houzz_final/00091.jpg,512,708,48,244
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00037.jpg,317,513,345,541
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00094.jpg,423,619,64,260
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00017.jpg,489,685,697,893
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00074.jpg,462,658,348,544
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00030.jpg,294,490,141,337
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00075.jpg,507,703,277,473
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00000.jpg,115,311,212,408
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00011.jpg,281,477,338,534
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00073.jpg,363,559,370,566
/home/dziurawy-beret/dataset_final/00022_FINAL.png,407,603,95,291,/home/dziurawy-beret/houzz_final/00017.jpg,568,764,752,948
/home/dziurawy-beret/dataset_final/00022_FINAL.png,50,246,734,930,/home/dziurawy-beret/houzz_final/00096.jpg,200,396,464,660
/home/dziurawy-beret/dataset_final/00022_FINAL.png,50,246,734,930,/home/dziurawy-beret/houzz_final/00007.jpg,556,752,202,398
/home/dziurawy-beret/dataset_final/00022_FINAL.png,50,246,734,930,/home/dziurawy-beret/houzz_final/00024.jpg,336,532,236,432
/home/dziurawy-beret/dataset_final/00022_FINAL.png,50,246,734,930,/home/dziurawy-beret/houzz_final/00070.jpg,397,593,473,669
/home/dziurawy-beret/dataset_final/00022_FINAL.png,50,246,734,930,/home/dziurawy-beret/houzz_final/00070.jpg,451,647,558,754
/home/dziurawy-beret/dataset_final/00022_FINAL.png,325,521,235,431,/home/dziurawy-beret/houzz_final/00007.jpg,314,510,562,758
/home/dziurawy-beret/dataset_final/00022_FINAL.png,325,521,235,431,/home/dziurawy-beret/houzz_final/00100.jpg,133,329,276,472
/home/dziurawy-beret/dataset_final/00022_FINAL.png,161,357,749,945,/home/dziurawy-beret/houzz_final/00097.jpg,155,351,292,488
/home/dziurawy-beret/dataset_final/00022_FINAL.png,161,357,749,945,/home/dziurawy-beret/houzz_final/00038.jpg,31,227,480,676
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00059.jpg,454,650,140,336
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00067.jpg,255,451,129,325
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00000.jpg,251,447,742,938
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00048.jpg,170,366,569,765
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00048.jpg,163,359,587,783
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00039.jpg,307,503,549,745
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00015.jpg,341,537,61,257
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00010.jpg,278,474,360,556
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00084.jpg,354,550,807,1003
/home/dziurawy-beret/dataset_final/00022_FINAL.png,82,278,514,710,/home/dziurawy-beret/houzz_final/00007.jpg,215,411,692,888
/home/dziurawy-beret/dataset_final/00022_FINAL.png,325,521,575,771,/home/dziurawy-beret/houzz_final/00007.jpg,314,510,562,758
/home/dziurawy-beret/dataset_final/00022_FINAL.png,325,521,575,771,/home/dziurawy-beret/houzz_final/00100.jpg,133,329,276,472
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00053.jpg,564,760,91,287
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00045.jpg,457,653,601,797
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00067.jpg,523,719,695,891
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00015.jpg,556,752,629,825
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00045.jpg,446,642,768,964
/home/dziurawy-beret/dataset_final/00022_FINAL.png,556,752,158,354,/home/dziurawy-beret/houzz_final/00069.jpg,538,734,315,511
